state_elec,next_elec
Andhra_Pradesh.2014,20190602
Andhra_Pradesh.2019,
Andhra_Pradesh.NA,
Bihar.NA,
Bihar.2020,
Bihar.2015,20201110
Chattisgarh.2018,20231203
Chattisgarh.2013,20181211
Chattisgarh.NA,
Chattisgarh.2023,
Gujarat.2017,20221208
Gujarat.2012,20171218
Gujarat.NA,
Gujarat.2022,
Haryana.NA,
Haryana.2019,
Haryana.2014,20191024
Himachal_Pradesh.2017,20221208
Himachal_Pradesh.NA,
Himachal_Pradesh.2022,
Himachal_Pradesh.2012,20171218
Jharkhand.2014,20191221
Jharkhand.NA,
Jharkhand.2019,
Karnataka.2018,20230513
Karnataka.2013,20180515
Karnataka.NA,
Karnataka.2023,
Kerala.2021,
Kerala.NA,
Kerala.2016,20210502
Kerala.2011,20160519
Madhya_Pradesh.2018,20231203
Madhya_Pradesh.NA,
Madhya_Pradesh.2013,20181211
Madhya_Pradesh.2023,
Maharashtra.2019,
Maharashtra.NA,
Maharashtra.2014,20191024
Odisha.2019,
Odisha.NA,
Odisha.2014,20190602
Punjab.2017,20220310
Punjab.NA,
Punjab.2022,
Punjab.2012,20170311
Rajasthan.NA,
Rajasthan.2018,20231203
Rajasthan.2013,20181211
Rajasthan.2023,
Tamil_Nadu.NA,
Tamil_Nadu.2016,20210502
Tamil_Nadu.2011,20160519
Tamil_Nadu.2021,
Telangana.2018,20231203
Telangana.NA,
Telangana.2014,20181211
Uttar_Pradesh.2017,20220310
Uttar_Pradesh.NA,
Uttar_Pradesh.2022,
Uttar_Pradesh.2012,20170311
West_Bengal.NA,
West_Bengal.2021,
West_Bengal.2016,20210502
West_Bengal.2011,20160519
