state_elec,term
Andhra_Pradesh.2014,1
Andhra_Pradesh.2019,1
Andhra_Pradesh.NA,
Bihar.NA,
Bihar.2020,0
Bihar.2015,0
Chattisgarh.2018,0
Chattisgarh.2013,1
Chattisgarh.NA,
Chattisgarh.2023,0
Gujarat.2017,0
Gujarat.2012,0
Gujarat.NA,
Gujarat.2022,0
Haryana.NA,
Haryana.2019,1
Haryana.2014,0
Himachal_Pradesh.2017,0
Himachal_Pradesh.NA,
Himachal_Pradesh.2022,0
Himachal_Pradesh.2012,0
Jharkhand.2014,0
Jharkhand.NA,
Jharkhand.2019,0
Karnataka.2018,0
Karnataka.2013,0
Karnataka.NA,
Karnataka.2023,0
Kerala.2021,1
Kerala.NA,
Kerala.2016,0
Kerala.2011,0
Madhya_Pradesh.2018,0
Madhya_Pradesh.NA,
Madhya_Pradesh.2013,1
Madhya_Pradesh.2023,0
Maharashtra.2019,0
Maharashtra.NA,
Maharashtra.2014,0
Odisha.2019,1
Odisha.NA,
Odisha.2014,1
Punjab.2017,0
Punjab.NA,
Punjab.2022,0
Punjab.2012,1
Rajasthan.NA,
Rajasthan.2018,0
Rajasthan.2013,0
Rajasthan.2023,0
Tamil_Nadu.NA,
Tamil_Nadu.2016,1
Tamil_Nadu.2011,0
Tamil_Nadu.2021,0
Telangana.2018,0
Telangana.NA,
Telangana.2014,1
Uttar_Pradesh.2017,0
Uttar_Pradesh.NA,
Uttar_Pradesh.2022,1
Uttar_Pradesh.2012,1
West_Bengal.NA,
West_Bengal.2021,0
West_Bengal.2016,0
West_Bengal.2011,1
